Country,City-UTF8,City-ASCII,Population,Latitude,Longitude
UA,Yevpatoriya,Yevpatoriya,106202,45.20091,33.36655
RU,Derbent,Derbent,105965,42.06779,48.28987
DE,Gera,Gera,104659,50.88029,12.08187
BA,Mostar,Mostar,104518,43.34333,17.80806
RU,Velikiye Luki,Velikiye Luki,103149,56.34,30.54517
RO,Piatra Neamţ,Piatra Neamt,102688,46.91667,26.33333
RO,Drobeta-Turnu Severin,Drobeta-Turnu Severin,102346,44.63194,22.65611
RU,Ukhta,Ukhta,102187,63.56705,53.68348
BY,Salihorsk,Salihorsk,101614,52.7876,27.5415
HU,Székesfehérvár,Szekesfehervar,101600,47.18995,18.41034
TR,Mustafakemalpaşa,Mustafakemalpasa,101412,40.03815,28.40866
BY,Maladzyechna,Maladzyechna,101300,54.3167,26.854
CZ,Olomouc,Olomouc,101268,49.59552,17.25175
EE,Tartu,Tartu,101092,58.38062,26.72509
BY,Navapolatsk,Navapolatsk,100885,55.5318,28.5987
PT,Funchal,Funchal,100847,32.66568,-16.92547
